,總票票數,國民黨,民進黨,三等國民公義人權自救黨,無黨籍及未經政黨推薦,主要政黨得票總和,國民黨比率,民進黨比率,自救黨比例,無黨籍比率
全國,"8,295,599",3385081,3979329,1624,929565,8295599,0.408057453,0.479691581,0.000195766,0.112055199
台北市,1494045,609932,,,882490,1492422,0.408242054,0,0,0.590671633
